qn1k,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn28a,qn28b,cohort,ui_agect_arrival,ui_school,ui_emprate
1,1,1,1,2,48,1,16,16,97,2014, ,1,1,1, ,3,3,1,1, ,5,1, ,2,1, , ,1,1,2,4, ,2
1,1,5,1,1,45,1,2,2,97,2012, ,0,1,5,97,4,3,1,2,2,99,1, ,1, , , ,1,1,1,4,0,1
1,2,5,5,5,65,2,2,2,97, ,2,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,2,2,1,5,0,3
1,3,5,2,1,41,2,2,2,97,2012,2,0,1,1, ,4,3,1,1, , ,1, ,1, , , ,2,2,1,3,0,3
1,4,5,6,2,35,1,2,2,97,2014,2,8,2,8,98,3,3,1,1, ,99,1, ,1, , , ,1,1,1,3,0,1
1,5,5,11,4,14,1,14,97,97,2014,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,4,1,1,32,1,10,10,1,2014, ,16,6,4,9,2,1,2,1, ,1,1, ,1, , , ,1,1,3,3,0,1
1,2,4,2,1,30,2,10,10,1,2014,2,16,6,1, ,3,2,1,2,1, ,1, ,1, , , ,1,1,3,3,0,2
1,3,4,4,6,8,1,10,10,1,2014,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,4,4,4,6,6,1,97,10,1,2014,2, , , , , , , , , , , , , , , , , , ,3,1, , 
1,1,5,1,1,45,1,2,96,97,2015,2,98,1,4,11,3,2,1,1, ,98,1, ,1, , , ,1,1,3,4,0,1
1,2,5,11,1,28,2,2,96,97,2014, ,0,1,5,11,4,4,1,1, , ,1, ,1, , , ,1,1,3,3,0,3
1,3,5,4,3,55,2,2,96,97,2015,2,0,1,1, ,4,4,1,1, , ,1, ,1, , , ,1,1,3,4,0,3
1,4,5,6,1,27,1,2,96,97,2012,2,12,5,6,13,2,2,2,1, ,98,1, ,1, , , ,1,1,3,2,0,1
1,5,5,2,1,30,2,2,96,97,2015,2,5,2,97,10,3,2,1,1, , ,1, ,1, , , ,1,1,3,3,0,3
1,1,5,1,1,54,1,2,96,97,2011,1, , , , , , , , , , , , , , , , , , ,2,4, , 
1,2,5,10,4,24,2,2,96,97,2013, ,12,5,6,13,3,3,2,1, ,98,1, ,1, , , ,1,1,2,2,0,1
1,3,5,5,7,31,1,2,24,97,2011,1, , , , , , , , , , , , , , , , , , ,2,2, , 
1,4,5,5,4,29,2,2,24,97,2011,1, , , , , , , , , , , , , , , , , , ,2,2, , 
1,5,5,2,1,998,2,2,96,97,2011,1, , , , , , , , , , , , , , , , , , ,2,999, , 
1,1,5,1,1,39,1,16,16,97,2012, ,12,5,1, ,4,2,1,2,1,1,1, ,2,1, , ,1,1,1,3, ,1
1,2,5,2,1,29,2,16,16,97,2015,1, , , , , , , , , , , , , , , , , , ,1,3, , 
1,3,5,4,4,15,1,97,97,97,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,4,5,4,4,14,2,97,97,97,2012,2, , , , , , , , , , , , , , , , , , ,1,1, , 
1,5,5,4,4,4,1,97,97,97,2015,1, , , , , , , , , , , , , , , , , , ,1,1, , 
1,1,5,1,1,40,1,3,3,20,2011, ,98,1,5,11,4,3,1,1, ,1,1, ,1, , , ,1,1,1,3,0,1
1,2,5,2,1,27,2,3,3,20,2011,2,8,2,5,98,4,3,1,2,1, ,1, ,1, , , ,1,1,1,2,0,3
